epoch,train_loss,validation_balanced_accuracy,learning_rate
1.0,1.431984172624255,0.27557685414146244,6.45769549087854e-06
2.0,1.3682630794010464,0.31780194852010757,1.6733570872048158e-05
3.0,1.2885842415643116,0.4202894431024159,3.301973581024263e-05
4.0,1.1677197675856332,0.4019009015255005,5.883156775208591e-05
5.0,1.0232362121249001,0.4531720092255743,9.974056448166367e-05
6.0,0.8628385544958569,0.44620886268429916,9.974056448166367e-05
7.0,0.7464825883365813,0.4996476748736123,9.974056448166367e-05
8.0,0.6413853290345933,0.4885986971436194,9.974056448166367e-05
9.0,0.520411837176671,0.47030122756292075,9.974056448166367e-05
10.0,0.449820475729685,0.49812230924033685,9.974056448166367e-05
11.0,0.3970669959083436,0.5212533051877737,9.974056448166367e-05
12.0,0.3438332611984677,0.49534345215481174,9.974056448166367e-05
13.0,0.3002644730560363,0.4817371437890259,9.974056448166367e-05
14.0,0.2576123518319357,0.5109954890474993,9.974056448166367e-05
15.0,0.21999210053020055,0.49438815610306674,9.974056448166367e-05
16.0,0.20362010628458052,0.4966324251377875,9.974056448166367e-05
17.0,0.16798243913385602,0.5067671733502159,4.9870282240831836e-05
